Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,2788,153,2941,Laukine,MMR015022
 Rural,8291,2999,11290,Laukine,MMR015022
 Total,11079,3152,14231,Laukine,MMR015022
