Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,199,32,231,Mineyu(ST),MMR016011
 Rural,6759,3877,10636,Mineyu(ST),MMR016011
 Total,6958,3909,10867,Mineyu(ST),MMR016011
