Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,3079,1092,4171,Naungkhio,MMR015013
 Rural,14578,13475,28053,Naungkhio,MMR015013
 Total,17657,14567,32224,Naungkhio,MMR015013
