Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,712,196,908,Dekkhinathiri,MMR018004
 Rural,1991,4098,6089,Dekkhinathiri,MMR018004
 Total,2703,4294,6997,Dekkhinathiri,MMR018004
 Urban,2311115,738318,3049433,Dekkhinathiri,MMR018004
 Rural,3071875,4756524,7828399,Dekkhinathiri,MMR018004
 Total,5382990,5494842,10877832,Dekkhinathiri,MMR018004
