Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,2084,1482,3566,Daydaye,MMR017026
 Rural,14616,30428,45044,Daydaye,MMR017026
 Total,16700,31910,48610,Daydaye,MMR017026
