Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,1307,924,2231,Kawhmu,MMR013028
 Rural,11626,15935,27561,Kawhmu,MMR013028
 Total,12933,16859,29792,Kawhmu,MMR013028
