Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,2129,523,2652,Tada U,MMR010016
 Rural,13600,16375,29975,Tada U,MMR010016
 Total,15729,16898,32627,Tada U,MMR010016
