Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,1667,820,2487,Tamoenye(ST),MMR015011
 Rural,4188,6374,10562,Tamoenye(ST),MMR015011
 Total,5855,7194,13049,Tamoenye(ST),MMR015011
