Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,8141,961,9102,Kengtung,MMR016001
 Rural,13605,11389,24994,Kengtung,MMR016001
 Total,21746,12350,34096,Kengtung,MMR016001
