Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,759,220,979,Naungtayar(ST),MMR014009
 Rural,7521,8079,15600,Naungtayar(ST),MMR014009
 Total,8280,8299,16579,Naungtayar(ST),MMR014009
