Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,8188,4325,12513,Myaungmya,MMR017014
 Rural,23204,30455,53659,Myaungmya,MMR017014
 Total,31392,34780,66172,Myaungmya,MMR017014
