Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,4099,1125,5224,Panglong(ST),MMR014011
 Rural,4332,4960,9292,Panglong(ST),MMR014011
 Total,8431,6085,14516,Panglong(ST),MMR014011
