Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,7446,2802,10248,Pobbathiri,MMR018005
 Rural,6988,10380,17368,Pobbathiri,MMR018005
 Total,14434,13182,27616,Pobbathiri,MMR018005
