Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,157,344,501,Pyinsalu(ST),MMR017016
 Rural,4543,15393,19936,Pyinsalu(ST),MMR017016
 Total,4700,15737,20437,Pyinsalu(ST),MMR017016
