Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,27028,10413,37441,Pathein,MMR017001
 Rural,12651,15944,28595,Pathein,MMR017001
 Total,39679,26357,66036,Pathein,MMR017001
