Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,1132,533,1665,Karli(ST),MMR014014
 Rural,1922,2980,4902,Karli(ST),MMR014014
 Total,3054,3513,6567,Karli(ST),MMR014014
