Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,10613,8293,18906,Sittway,MMR012001
 Rural,2909,7221,10130,Sittway,MMR012001
 Total,13522,15514,29036,Sittway,MMR012001
