Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,41246,17265,58511,Shwepyitha,MMR013007
 Rural,9532,5732,15264,Shwepyitha,MMR013007
 Total,50778,22997,73775,Shwepyitha,MMR013007
