Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,3994,1317,5311,Madaya,MMR010009
 Rural,25169,28165,53334,Madaya,MMR010009
 Total,29163,29482,58645,Madaya,MMR010009
