Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,1009,461,1470,Mineye`,MMR015003
 Rural,3846,8012,11858,Mineye`,MMR015003
 Total,4855,8473,13328,Mineye`,MMR015003
