Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,2540,2057,4597,Ngathaingchaung(ST),MMR017006
 Rural,6513,11803,18316,Ngathaingchaung(ST),MMR017006
 Total,9053,13860,22913,Ngathaingchaung(ST),MMR017006
