Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,4050,1999,6049,Myanaung,MMR017011
 Rural,18867,35004,53871,Myanaung,MMR017011
 Total,22917,37003,59920,Myanaung,MMR017011
