Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,47021,9627,56648,Taunggyi,MMR014001
 Rural,15367,10589,25956,Taunggyi,MMR014001
 Total,62388,20216,82604,Taunggyi,MMR014001
