Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,413,308,721,Ponparkyin(ST),MMR016008
 Rural,2065,4548,6613,Ponparkyin(ST),MMR016008
 Total,2478,4856,7334,Ponparkyin(ST),MMR016008
