Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,9732,1362,11094,Tachileik,MMR016009
 Rural,13946,6139,20085,Tachileik,MMR016009
 Total,23678,7501,31179,Tachileik,MMR016009
