Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,1258,1283,2541,Ngaputaw,MMR017004
 Rural,11603,23232,34835,Ngaputaw,MMR017004
 Total,12861,24515,37376,Ngaputaw,MMR017004
