Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,4716,2158,6874,Pyawbwe,MMR010024
 Rural,16273,35716,51989,Pyawbwe,MMR010024
 Total,20989,37874,58863,Pyawbwe,MMR010024
