Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,826,1422,2248,Yanbye,MMR012013
 Rural,879,19291,20170,Yanbye,MMR012013
 Total,1705,20713,22418,Yanbye,MMR012013
