Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,39744,9990,49734,Mawlamyine,MMR011001
 Rural,5398,2325,7723,Mawlamyine,MMR011001
 Total,45142,12315,57457,Mawlamyine,MMR011001
