Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,5837,3300,9137,Maubin,MMR017019
 Rural,24991,37676,62667,Maubin,MMR017019
 Total,30828,40976,71804,Maubin,MMR017019
