Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,1581,516,2097,Kengtaung(ST),MMR014019
 Rural,27,137,164,Kengtaung(ST),MMR014019
 Total,1608,653,2261,Kengtaung(ST),MMR014019
