Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,1894,755,2649,Hsihseng,MMR014004
 Rural,14674,15448,30122,Hsihseng,MMR014004
 Total,16568,16203,32771,Hsihseng,MMR014004
