Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,445,325,770,Laymyethna,MMR017010
 Rural,8281,17193,25474,Laymyethna,MMR017010
 Total,8726,17518,26244,Laymyethna,MMR017010
