Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,485,73,558,Minekat,MMR016002
 Rural,2030,5437,7467,Minekat,MMR016002
 Total,2515,5510,8025,Minekat,MMR016002
