Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,6976,1677,8653,Kyukme,MMR015012
 Rural,10080,9638,19718,Kyukme,MMR015012
 Total,17056,11315,28371,Kyukme,MMR015012
