Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,2330,1620,3950,Kyaungon,MMR017007
 Rural,15223,22229,37452,Kyaungon,MMR017007
 Total,17553,23849,41402,Kyaungon,MMR017007
