Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,973,219,1192,Maukme`,MMR014020
 Rural,714,5288,6002,Maukme`,MMR014020
 Total,1687,5507,7194,Maukme`,MMR014020
