Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,509,270,779,Manton,MMR015019
 Rural,938,5966,6904,Manton,MMR015019
 Total,1447,6236,7683,Manton,MMR015019
