Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,1028,1442,2470,Pauktaw,MMR012007
 Rural,3052,25022,28074,Pauktaw,MMR012007
 Total,4080,26464,30544,Pauktaw,MMR012007
