Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,18259,5704,23963,Meiktila,MMR010028
 Rural,18914,25562,44476,Meiktila,MMR010028
 Total,37173,31266,68439,Meiktila,MMR010028
