Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,4625,2183,6808,Tantyan,MMR015004
 Rural,11304,17030,28334,Tantyan,MMR015004
 Total,15929,19213,35142,Tantyan,MMR015004
