Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,1854,2761,4615,Minbya,MMR012005
 Rural,3855,28158,32013,Minbya,MMR012005
 Total,5709,30919,36628,Minbya,MMR012005
