Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,321,281,602,Kyauktalongyi(ST),MMR014001
 Rural,5568,6095,11663,Kyauktalongyi(ST),MMR014001
 Total,5889,6376,12265,Kyauktalongyi(ST),MMR014001
