Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,10629,1969,12598,Kalaw,MMR014005
 Rural,14656,14087,28743,Kalaw,MMR014005
 Total,25285,16056,41341,Kalaw,MMR014005
