Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,5324,2192,7516,Kyaikto,MMR011009
 Rural,13808,16764,30572,Kyaikto,MMR011009
 Total,19132,18956,38088,Kyaikto,MMR011009
