Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,70557,33250,103807,Hlinethaya,MMR013008
 Rural,22665,22239,44904,Hlinethaya,MMR013008
 Total,93222,55489,148711,Hlinethaya,MMR013008
