Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,852,267,1119,Minetung,MMR016008
 Rural,802,2337,3139,Minetung,MMR016008
 Total,1654,2604,4258,Minetung,MMR016008
