Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,12731,3899,16630,Amarapura,MMR010006
 Rural,18895,14101,32996,Amarapura,MMR010006
 Total,31626,18000,49626,Amarapura,MMR010006
