Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,2045,1794,3839,Kyauktaw,MMR012004
 Rural,4768,27888,32656,Kyauktaw,MMR012004
 Total,6813,29682,36495,Kyauktaw,MMR012004
