Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,3551,1755,5306,Kyangin,MMR017012
 Rural,9030,12521,21551,Kyangin,MMR017012
 Total,12581,14276,26857,Kyangin,MMR017012
