Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,1891,131,2022,Pan San(Pan Kham),MMR015005
 Rural,6024,8096,14120,Pan San(Pan Kham),MMR015005
 Total,7915,8227,16142,Pan San(Pan Kham),MMR015005
