Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,699,441,1140,Kyaukhtu(ST),MMR009025
 Rural,2309,4160,6469,Kyaukhtu(ST),MMR009025
 Total,3008,4601,7609,Kyaukhtu(ST),MMR009025
