Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,13166,6663,19829,Hinthada,MMR017008
 Rural,23788,42512,66300,Hinthada,MMR017008
 Total,36954,49175,86129,Hinthada,MMR017008
