Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,1193,539,1732,Sinku,MMR010010
 Rural,13273,19528,32801,Sinku,MMR010010
 Total,14466,20067,34533,Sinku,MMR010010
