Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,725,785,1510,Yethedaung,MMR012008
 Rural,3275,19556,22831,Yethedaung,MMR012008
 Total,4000,20341,24341,Yethedaung,MMR012008
