Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,1029,294,1323,Minephyat,MMR016010
 Rural,2074,2768,4842,Minephyat,MMR016010
 Total,3103,3062,6165,Minephyat,MMR016010
