Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,387,446,833,Ngayokaung(ST),MMR017004
 Rural,2356,7012,9368,Ngayokaung(ST),MMR017004
 Total,2743,7458,10201,Ngayokaung(ST),MMR017004
