Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,2764,614,3378,Hopan,MMR015021
 Rural,2822,3831,6653,Hopan,MMR015021
 Total,5586,4445,10031,Hopan,MMR015021
