Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,1425,1065,2490,Tada(ST),MMR013024
 Rural,2876,4127,7003,Tada(ST),MMR013024
 Total,4301,5192,9493,Tada(ST),MMR013024
