Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,5950,3247,9197,Twantay,MMR013027
 Rural,21164,21241,42405,Twantay,MMR013027
 Total,27114,24488,51602,Twantay,MMR013027
