Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,4361,2395,6756,Thongwa,MMR013025
 Rural,15879,17452,33331,Thongwa,MMR013025
 Total,20240,19847,40087,Thongwa,MMR013025
