Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,11484,2972,14456,Pyinmana,MMR018006
 Rural,12654,12553,25207,Pyinmana,MMR018006
 Total,24138,15525,39663,Pyinmana,MMR018006
