Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,788,147,935,Namsan(North),MMR015016
 Rural,4556,8194,12750,Namsan(North),MMR015016
 Total,5344,8341,13685,Namsan(North),MMR015016
