Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,3999,842,4841,Nanhsam(South),MMR014013
 Rural,7049,6973,14022,Nanhsam(South),MMR014013
 Total,11048,7815,18863,Nanhsam(South),MMR014013
